ZINC000000000085 ,  31923 ,  2,ZINC000000000085,7,284.421,1.02,-39.062290,-60.532318,-40.884693,-19.647623,15.046812,-40.948402,-19.647573,-60.595978,0,5.112865,9.933948,3.000000,725,725,725,5.844669,1,13,5,0.923077,1.229284,0,0,0,1,0,0,0,0.211009,0.277724,14,23,2.234246,0.391618,0.594833,0.587601,0.335161,0.378746,0.307903,0.145463,10.920529,-45.485506,1578127.0,1578278.0,chunk2
ZINC000000000199 ,  24897 ,  10,ZINC000000000199,6,288.453,1.01,-36.043526,-60.763344,-41.563141,-19.200205,15.627199,-41.636578,-19.199884,-60.836464,0,5.354838,10.272361,3.000000,725,725,725,5.999030,1,13,8,0.923077,1.383646,0,0,0,1,0,0,0,0.233645,0.480864,12,23,2.872168,0.374022,0.539884,0.604116,0.297512,0.383950,0.365487,0.053181,36.832905,-45.136145,1912484.0,1912644.0,chunk2
ZINC000000000214 ,  23719 ,  1,ZINC000000000214,5,313.443,1,-43.178883,-55.991997,-41.111019,-14.880980,13.073977,-41.168625,-14.880880,-56.049507,1,5.014021,8.059956,2.449490,725,725,725,4.993822,2,13,9,0.846154,0.763053,0,1,0,0,1,0,0,0.216216,-0.205396,15,23,1.533734,0.398916,0.620329,0.585386,0.372232,0.411739,0.394832,0.008978,46.700089,-42.91802,1169624.0,1169768.0,chunk4
ZINC000000000276 ,  15876 ,  4,ZINC000000000276,8,277.43,1.02,-48.243130,-50.951431,-33.056061,-17.895372,15.968102,-33.104946,-17.895144,-51.000092,1,4.903082,11.065020,2.449490,725,725,725,4.993393,2,13,12,0.846154,0.762624,0,1,0,1,0,0,0,0.329897,-1.418575,7,23,2.059686,0.436547,0.629919,0.659702,0.370431,0.481998,0.419753,0.057479,39.156166,-34.983329,835700.0,835854.0,chunk2
ZINC000000000346 ,  11554 ,  4,ZINC000000000346,6,318.436,1.03,-43.784676,-57.728458,-37.251305,-20.477154,15.944478,-37.316952,-20.476988,-57.793938,0,6.037213,9.907266,3.000000,725,725,725,5.333452,2,13,8,0.846154,1.102683,0,0,0,1,0,0,1,0.266055,-0.343596,8,23,2.917273,0.448279,0.594755,0.619293,0.382392,0.429371,0.455006,0.208859,15.980035,-41.78398,975537.0,975697.0,chunk3
ZINC000000000444 ,  22845 ,  2,ZINC000000000444,7,286.394,0.99,-43.643646,-58.574814,-40.279728,-18.295084,13.095036,-40.335381,-18.295023,-58.630402,1,3.730559,9.364477,3.162278,725,725,725,5.883490,1,13,6,0.923077,1.268106,0,0,0,1,0,0,0,0.269231,-0.015180,14,23,1.941342,0.475491,0.704445,0.675042,0.449914,0.425766,0.409224,0.188554,6.047596,-45.479778,1170072.0,1170219.0,chunk2
ZINC000000000594 ,  10824 ,  4,ZINC000000000594,6,290.426,0.98,-52.401100,-60.393887,-41.605785,-18.788101,15.174744,-41.668560,-18.787834,-60.456394,1,4.124495,11.050248,3.162278,725,725,725,5.237038,2,13,11,0.846154,1.006269,0,0,0,1,0,0,1,0.281553,-0.874935,8,23,2.385934,0.431256,0.583025,0.606824,0.356557,0.439736,0.434875,0.166521,24.540575,-45.219143,578149.0,578304.0,chunk2
ZINC000000000635 ,  17187 ,  2,ZINC000000000635,3,258.384,0.99,-35.825523,-48.406754,-35.760208,-12.646544,13.477973,-35.813595,-12.646261,-48.459854,0,3.707486,9.770487,3.000000,725,725,725,5.608689,1,13,8,0.923077,0.993305,1,0,0,0,0,0,0,0.312500,-0.357496,6,23,3.338156,0.411333,0.717398,0.706692,0.274174,0.442647,0.322594,0.004494,9.237525,-34.928781,1938206.0,1938350.0,chunk2
ZINC000000000653 ,  29949 ,  4,ZINC000000000653,7,288.41,1.01,-39.420647,-56.800194,-38.622295,-18.177900,14.205309,-38.684204,-18.178175,-56.862381,0,4.777857,9.427453,3.000000,725,725,725,5.342556,1,13,8,0.923077,0.727171,0,0,0,1,0,0,0,0.269231,0.266264,10,23,3.092351,0.495214,0.716747,0.743878,0.443091,0.502777,0.436446,0.128345,28.770290,-42.594885,1544158.0,1544309.0,chunk2
ZINC000000000681 ,  14284 ,  4,ZINC000000000681,5,246.373,1.01,-32.509861,-40.423088,-23.615381,-16.807709,15.611444,-23.652607,-16.807602,-40.460209,1,8.156240,7.455204,2.449490,725,725,725,4.905036,2,13,9,0.846154,0.674267,0,1,0,0,1,0,0,0.268041,-0.915814,7,23,2.562447,0.404106,0.661103,0.584065,0.332683,0.391514,0.430937,0.024332,9.446987,-24.811644,1668043.0,1668184.0,chunk1
ZINC000000000961 ,  56380 ,  1,ZINC000000000961,4,272.367,0.98,-30.675995,-48.499313,-30.385962,-18.113354,17.420492,-30.418974,-18.113253,-48.532227,2,5.312213,12.108279,2.236068,725,725,725,5.743816,2,13,9,0.846154,1.513047,0,1,1,0,0,0,0,0.277228,-0.385573,5,23,3.527470,0.347592,0.526787,0.520074,0.314219,0.357032,0.217967,0.149474,97.291756,-31.078821,2619183.0,2619325.0,chunk2
ZINC000000001019 ,  51643 ,  1,ZINC000000001019,4,347.46,0.05,-32.039906,-55.812813,-44.008549,-11.804266,17.390926,-44.080578,-11.804235,-55.884811,1,5.127712,12.263215,3.162278,725,725,725,5.032193,1,13,9,0.923077,0.416809,0,0,0,0,0,0,1,0.278261,0.273705,13,23,2.447618,0.307060,0.495776,0.480867,0.350773,0.275169,0.225798,0.013975,7.980274,-38.421887,572676.0,572837.0,chunk5
ZINC000000001407 ,  8539 ,  1,ZINC000000001407,8,284.421,1.01,-54.631180,-63.514664,-45.542564,-17.972099,10.947287,-45.611984,-17.972231,-63.584213,1,3.257137,7.690150,2.449490,725,725,725,4.595041,3,13,8,0.769231,0.748888,1,1,0,1,0,0,0,0.245283,-0.178288,14,23,1.778234,0.461287,0.687701,0.696022,0.405652,0.455571,0.444229,0.078544,12.252423,-52.56737700000001,457755.0,457906.0,chunk2
ZINC000000001418 ,  25539 ,  1,ZINC000000001418,4,281.378,1,-42.152184,-57.409592,-37.386772,-20.022821,14.614031,-37.440060,-20.022825,-57.462883,1,3.958477,10.655554,3.162278,725,725,725,5.957637,1,13,7,0.923077,1.342253,0,0,0,1,0,0,0,0.233645,-0.292066,14,23,1.664456,0.405880,0.628515,0.593706,0.318134,0.461010,0.385279,0.048634,19.483192,-42.795561000000006,1295738.0,1295880.0,chunk2
ZINC000000001438 ,  6969 ,  3,ZINC000000001438,7,323.458,0.99,-46.173923,-59.350292,-41.805073,-17.545219,14.323387,-41.877224,-17.545820,-59.423042,0,4.133079,10.190309,3.000000,725,725,725,5.071911,1,13,10,0.923077,0.456527,0,0,0,1,0,0,0,0.258929,-0.331192,11,23,2.277504,0.385999,0.603909,0.606132,0.324210,0.394025,0.367720,0.020002,26.581018,-45.026905,931244.0,931404.0,chunk4
